Марка,Модель,Мощность,Топливо,Цена,Год производства,Пробег,Коробка,Кузов,Привод,Цвет
Chevrolet,Niva I,80,Бензин,169999,2008,116110,механика,внедорожник 5 дв.,полный,синий
Chevrolet,Captiva I Рестайлинг 2,167,Бензин,865000,2014,70000,механика,внедорожник 5 дв.,полный,белый
Chevrolet,Aveo I,94,Бензин,165000,2007,137000,механика,хэтчбек 5 дв.,передний,красный
Chevrolet,Orlando I,141,Бензин,690000,2012,75000,механика,компактвэн,передний,белый
Chevrolet,Orlando I,141,Бензин,655000,2013,108000,автомат,компактвэн,передний,коричневый
Chevrolet,Cruze I,109,Бензин,399000,2012,95795,механика,хэтчбек 5 дв.,передний,серебристый
Chevrolet,Captiva I Рестайлинг,184,Дизель,599000,2012,208610,механика,внедорожник 5 дв.,полный,чёрный
Chevrolet,Cruze I,109,Бензин,375000,2012,143000,механика,хэтчбек 5 дв.,передний,серебристый
Chevrolet,Aveo I,94,Бензин,179700,2007,144000,механика,хэтчбек 5 дв.,передний,серебристый
Chevrolet,Spark III,67,Бензин,289000,2012,130058,автомат,хэтчбек 5 дв.,передний,зелёный
Chevrolet,Rezzo,90,Бензин,219000,2007,158197,механика,компактвэн,передний,синий
Chevrolet,Epica I Рестайлинг,143,Бензин,315000,2010,130256,механика,седан,передний,серебристый
Chevrolet,Aveo I Рестайлинг,101,Бензин,199000,2008,103340,механика,седан,передний,синий
Chevrolet,Niva I Рестайлинг,80,Бензин,690000,2019,5000,механика,внедорожник 5 дв.,полный,белый
Chevrolet,TrailBlazer II,180,Дизель,1098,2013,89210,автомат,внедорожник 5 дв.,полный,серый
Chevrolet,Orlando I,141,Бензин,569000,2012,118000,автомат,компактвэн,передний,чёрный
Chevrolet,Captiva I,136,Бензин,599000,2011,100919,механика,внедорожник 5 дв.,полный,белый
Chevrolet,Niva I Рестайлинг,80,Бензин,579000,2018,28098,механика,внедорожник 5 дв.,полный,синий
Chevrolet,Aveo I Рестайлинг,84,Бензин,250000,2008,115000,механика,хэтчбек 5 дв.,передний,пурпурный
Chevrolet,Lanos I,86,Бензин,40000,2007,106000,механика,седан,передний,зелёный
Chevrolet,Spark III,67,Бензин,399000,2013,49000,автомат,хэтчбек 5 дв.,передний,голубой
Chevrolet,Lacetti,109,Бензин,290000,2012,150000,механика,универсал 5 дв.,передний,чёрный
Chevrolet,Lacetti,109,Бензин,255000,2007,128000,механика,хэтчбек 5 дв.,передний,красный
Chevrolet,Captiva I,136,Бензин,680000,2009,112000,автомат,внедорожник 5 дв.,полный,серебристый
Chevrolet,Cruze I Рестайлинг,141,Бензин,525000,2013,109746,автомат,универсал 5 дв.,передний,белый
Chevrolet,TrailBlazer I Рестайлинг,295,Бензин,509000,2009,188874,автомат,внедорожник 5 дв.,полный,чёрный
Chevrolet,Tahoe IV,409,Бензин,2399,2016,44019,автомат,внедорожник 5 дв.,полный,фиолетовый
Chevrolet,Aveo I Рестайлинг,94,Бензин,130000,2007,311000,механика,седан,передний,красный
Chevrolet,TrailBlazer II,180,Дизель,1140,2013,109000,автомат,внедорожник 5 дв.,полный,чёрный
Chevrolet,Lanos I,86,Бензин,94750,2008,151294,механика,седан,передний,серебристый
Chevrolet,Lanos I,86,Бензин,125000,2007,127300,механика,седан,передний,зелёный
Chevrolet,Cruze I Рестайлинг,141,Бензин,560000,2014,74080,автомат,седан,передний,коричневый
Chevrolet,Niva I,80,Бензин,149000,2008,90000,механика,внедорожник 5 дв.,полный,серебристый
Chevrolet,Aveo I Рестайлинг,94,Бензин,249000,2007,197600,автомат,седан,передний,красный
Chevrolet,Niva I Рестайлинг,80,Бензин,269000,2011,93000,механика,внедорожник 5 дв.,полный,серебристый
Chevrolet,Cruze I Рестайлинг,109,Бензин,435000,2013,87781,автомат,седан,передний,красный
Chevrolet,Lacetti,109,Бензин,255000,2007,145000,механика,универсал 5 дв.,передний,синий
Chevrolet,Lacetti,109,Бензин,269000,2009,165000,автомат,седан,передний,красный
Chevrolet,Tahoe IV,409,Бензин,2220,2015,102000,автомат,внедорожник 5 дв.,полный,чёрный
Chevrolet,Cruze I Рестайлинг,109,Бензин,599000,2015,84000,автомат,хэтчбек 5 дв.,передний,коричневый
Chevrolet,Tahoe IV,409,Бензин,2099,2015,70100,автомат,внедорожник 5 дв.,полный,чёрный
Chevrolet,Epica I Рестайлинг,143,Бензин,335000,2011,140000,автомат,седан,передний,чёрный
Chevrolet,Cruze I Рестайлинг,109,Бензин,380000,2012,94000,автомат,седан,передний,белый
Chevrolet,Epica I Рестайлинг,143,Бензин,429000,2011,88800,автомат,седан,передний,чёрный
Chevrolet,Cruze I,109,Бензин,440000,2012,74000,автомат,седан,передний,чёрный
Chevrolet,Lanos I,86,Бензин,54000,2007,230000,механика,седан,передний,синий
Chevrolet,Orlando I,141,Бензин,669000,2013,135000,автомат,компактвэн,передний,чёрный
Chevrolet,Niva I Рестайлинг,80,Бензин,392750,2016,63000,механика,внедорожник 5 дв.,полный,серый
Chevrolet,Cruze I Рестайлинг,141,Бензин,398000,2013,118000,механика,хэтчбек 5 дв.,передний,чёрный
Chevrolet,Lacetti,109,Бензин,295000,2011,120905,автомат,хэтчбек 5 дв.,передний,красный
Chevrolet,Niva I Рестайлинг,80,Бензин,560000,2018,41314,механика,внедорожник 5 дв.,полный,зелёный
Chevrolet,Niva I Рестайлинг,80,Бензин,450000,2015,66000,механика,внедорожник 5 дв.,полный,серый
Chevrolet,Cruze I,109,Бензин,308000,2010,142700,механика,седан,передний,серый
Chevrolet,Aveo II,115,Бензин,370000,2014,93000,автомат,седан,передний,чёрный
